model,scrub_period,trials,e_cap_count,f_a,ci_method,confidence_level,ci_low,ci_high,ci_half_width,precision_limit,precision_satisfied,analytical_f_a,monte_carlo_minus_analytical,analytical_sanity_tolerance,l2_input_fingerprint
J-A,0.5,20000,2112,0.1056,wilson_score,0.95,0.10141624600735391,0.10993523203370142,0.004259493013173757,0.007,True,0.10905397335118927,-0.003453973351189271,0.02,
J-A,1.0,20000,3816,0.1908,wilson_score,0.95,0.18541392056969577,0.1963048345273993,0.005445456978851765,0.007,True,0.19333885171048215,-0.002538851710482154,0.02,
J-A,2.0,20000,6268,0.3134,wilson_score,0.95,0.3070074836638988,0.31986418419223944,0.006428350264170324,0.007,True,0.3148651286146482,-0.0014651286146482034,0.02,
J-A,4.0,20000,9125,0.45625,wilson_score,0.95,0.44935611821620214,0.463160684938707,0.006902283361252426,0.007,True,0.4586588670535492,-0.002408867053549202,0.02,
J-B,0.5,20000,3282,0.1641,wilson_score,0.95,0.15903167185119446,0.16929733797129656,0.005132833060051051,0.007,True,0.16605473501960577,-0.0019547350196057744,0.02,
J-B,1.0,20000,5542,0.2771,wilson_score,0.95,0.2709404143192155,0.28334519535459596,0.006202390517690226,0.007,True,0.2760017321256306,0.0010982678743693963,0.02,
J-B,2.0,20000,8289,0.41445,wilson_score,0.95,0.4076397303640113,0.42129312700518823,0.006826698320588465,0.007,True,0.4126072776188685,0.0018427223811314786,0.02,
J-B,4.0,20000,10993,0.54965,wilson_score,0.95,0.5427458506611971,0.5565350801584317,0.0068946147486173,0.007,True,0.5488823892112911,0.0007676107887089056,0.02,
L2-independent_word_marginals,0.5,20000,2692,0.1346,wilson_score,0.95,0.12994007177054548,0.13940026817925574,0.004730098204355132,0.007,True,,,,b8d968b33b9e47d905af8f30f76f42c5effc3caa5fff8ab808c8c675ce4af418
L2-independent_word_marginals,1.0,20000,4716,0.2358,wilson_score,0.95,0.22996795116834973,0.2417335206836959,0.005882784757673093,0.007,True,,,,b8d968b33b9e47d905af8f30f76f42c5effc3caa5fff8ab808c8c675ce4af418
L2-independent_word_marginals,2.0,20000,7222,0.3611,wilson_score,0.95,0.3544704937054462,0.3677828539109396,0.006656180102746712,0.007,True,,,,b8d968b33b9e47d905af8f30f76f42c5effc3caa5fff8ab808c8c675ce4af418
L2-independent_word_marginals,4.0,20000,9905,0.49525,wilson_score,0.95,0.48832237105175974,0.5021794532907734,0.006928541119506831,0.007,True,,,,b8d968b33b9e47d905af8f30f76f42c5effc3caa5fff8ab808c8c675ce4af418
