epsilon,epsilon_status,candidate_model,reference_model,feasibility_rule,candidate_feasible_periods,reference_feasible_periods,candidate_selected_period,reference_selected_period,selected_period_discrepancy,selected_period_delta,false_safe_periods,false_conservative_periods,false_safe_decision,false_conservative_decision,candidate_selected_scrub_operations
0.02,experiment_parameter_not_project_requirement,J-A,J-B,wilson_ci_upper_le_epsilon,[],[],,,False,,[],[],False,False,
0.02,experiment_parameter_not_project_requirement,J-B,J-A,wilson_ci_upper_le_epsilon,[],[],,,False,,[],[],False,False,
0.02,experiment_parameter_not_project_requirement,L2-independent_word_marginals,J-A,wilson_ci_upper_le_epsilon,[],[],,,False,,[],[],False,False,
0.02,experiment_parameter_not_project_requirement,L2-independent_word_marginals,J-B,wilson_ci_upper_le_epsilon,[],[],,,False,,[],[],False,False,
0.05,experiment_parameter_not_project_requirement,J-A,J-B,wilson_ci_upper_le_epsilon,[],[],,,False,,[],[],False,False,
0.05,experiment_parameter_not_project_requirement,J-B,J-A,wilson_ci_upper_le_epsilon,[],[],,,False,,[],[],False,False,
0.05,experiment_parameter_not_project_requirement,L2-independent_word_marginals,J-A,wilson_ci_upper_le_epsilon,[],[],,,False,,[],[],False,False,
0.05,experiment_parameter_not_project_requirement,L2-independent_word_marginals,J-B,wilson_ci_upper_le_epsilon,[],[],,,False,,[],[],False,False,
0.1,experiment_parameter_not_project_requirement,J-A,J-B,wilson_ci_upper_le_epsilon,[],[],,,False,,[],[],False,False,
0.1,experiment_parameter_not_project_requirement,J-B,J-A,wilson_ci_upper_le_epsilon,[],[],,,False,,[],[],False,False,
0.1,experiment_parameter_not_project_requirement,L2-independent_word_marginals,J-A,wilson_ci_upper_le_epsilon,[],[],,,False,,[],[],False,False,
0.1,experiment_parameter_not_project_requirement,L2-independent_word_marginals,J-B,wilson_ci_upper_le_epsilon,[],[],,,False,,[],[],False,False,
0.15,experiment_parameter_not_project_requirement,J-A,J-B,wilson_ci_upper_le_epsilon,[0.5],[],0.5,,True,,[0.5],[],True,False,8
0.15,experiment_parameter_not_project_requirement,J-B,J-A,wilson_ci_upper_le_epsilon,[],[0.5],,0.5,True,,[],[0.5],False,True,
0.15,experiment_parameter_not_project_requirement,L2-independent_word_marginals,J-A,wilson_ci_upper_le_epsilon,[0.5],[0.5],0.5,0.5,False,0.0,[],[],False,False,8
0.15,experiment_parameter_not_project_requirement,L2-independent_word_marginals,J-B,wilson_ci_upper_le_epsilon,[0.5],[],0.5,,True,,[0.5],[],True,False,8
0.25,experiment_parameter_not_project_requirement,J-A,J-B,wilson_ci_upper_le_epsilon,"[0.5,1.0]",[0.5],1.0,0.5,True,0.5,[1.0],[],True,False,4
0.25,experiment_parameter_not_project_requirement,J-B,J-A,wilson_ci_upper_le_epsilon,[0.5],"[0.5,1.0]",0.5,1.0,True,-0.5,[],[1.0],False,True,8
0.25,experiment_parameter_not_project_requirement,L2-independent_word_marginals,J-A,wilson_ci_upper_le_epsilon,"[0.5,1.0]","[0.5,1.0]",1.0,1.0,False,0.0,[],[],False,False,4
0.25,experiment_parameter_not_project_requirement,L2-independent_word_marginals,J-B,wilson_ci_upper_le_epsilon,"[0.5,1.0]",[0.5],1.0,0.5,True,0.5,[1.0],[],True,False,4
0.35,experiment_parameter_not_project_requirement,J-A,J-B,wilson_ci_upper_le_epsilon,"[0.5,1.0,2.0]","[0.5,1.0]",2.0,1.0,True,1.0,[2.0],[],True,False,2
0.35,experiment_parameter_not_project_requirement,J-B,J-A,wilson_ci_upper_le_epsilon,"[0.5,1.0]","[0.5,1.0,2.0]",1.0,2.0,True,-1.0,[],[2.0],False,True,4
0.35,experiment_parameter_not_project_requirement,L2-independent_word_marginals,J-A,wilson_ci_upper_le_epsilon,"[0.5,1.0]","[0.5,1.0,2.0]",1.0,2.0,True,-1.0,[],[2.0],False,True,4
0.35,experiment_parameter_not_project_requirement,L2-independent_word_marginals,J-B,wilson_ci_upper_le_epsilon,"[0.5,1.0]","[0.5,1.0]",1.0,1.0,False,0.0,[],[],False,False,4
0.45,experiment_parameter_not_project_requirement,J-A,J-B,wilson_ci_upper_le_epsilon,"[0.5,1.0,2.0]","[0.5,1.0,2.0]",2.0,2.0,False,0.0,[],[],False,False,2
0.45,experiment_parameter_not_project_requirement,J-B,J-A,wilson_ci_upper_le_epsilon,"[0.5,1.0,2.0]","[0.5,1.0,2.0]",2.0,2.0,False,0.0,[],[],False,False,2
0.45,experiment_parameter_not_project_requirement,L2-independent_word_marginals,J-A,wilson_ci_upper_le_epsilon,"[0.5,1.0,2.0]","[0.5,1.0,2.0]",2.0,2.0,False,0.0,[],[],False,False,2
0.45,experiment_parameter_not_project_requirement,L2-independent_word_marginals,J-B,wilson_ci_upper_le_epsilon,"[0.5,1.0,2.0]","[0.5,1.0,2.0]",2.0,2.0,False,0.0,[],[],False,False,2
0.55,experiment_parameter_not_project_requirement,J-A,J-B,wilson_ci_upper_le_epsilon,"[0.5,1.0,2.0,4.0]","[0.5,1.0,2.0]",4.0,2.0,True,2.0,[4.0],[],True,False,1
0.55,experiment_parameter_not_project_requirement,J-B,J-A,wilson_ci_upper_le_epsilon,"[0.5,1.0,2.0]","[0.5,1.0,2.0,4.0]",2.0,4.0,True,-2.0,[],[4.0],False,True,2
0.55,experiment_parameter_not_project_requirement,L2-independent_word_marginals,J-A,wilson_ci_upper_le_epsilon,"[0.5,1.0,2.0,4.0]","[0.5,1.0,2.0,4.0]",4.0,4.0,False,0.0,[],[],False,False,1
